id,division,sub,BU,SSno,name,SSkv,owned,EHVname,switching,lat,lng,capacity,solarcap,plant,ptrans,feeder,outfeeder,infeeder,infeederss,img
140,KOLHAPUR RURAL II DIV.,KAGAL,7129,144073,33/11 KV 5 STAR MIDC,33/11 KV,Y,,N,16.6237851,74.348039,40,,,4,16,13,3,4,/assets/ss.png
141,KOLHAPUR RURAL II DIV.,KAGAL,7129,144015,33/11KV SIDHNERLI,33/11 KV,Y,,N,16.554098,74.247887,15,,,2,10,10,0,2,/assets/ss.png
142,KOLHAPUR RURAL II DIV.,KAGAL,7129,144079,33/11 KV MIDC G SHIRGAON,33/11 KV,Y,,N,16.6468242,74.2901847,20,,,2,7,7,0,1,/assets/ss.png
143,KOLHAPUR RURAL II DIV.,KAGAL,7129,144083,33/11 KV KENAWADE,33/11 KV,Y,,N,16.4841876,74.2319677,10,,,1,8,7,1,2,/assets/ss.png
144,KOLHAPUR RURAL II DIV.,KAGAL,7129,144119,33/11 KV PIMPALGAON KH,33/11 KV,Y,,N,16.5828675,74.2861165,10,0,06-01-2021,1,7,7,0,2,/assets/ss.png
145,KOLHAPUR RURAL II DIV.,KAGAL,7129,144124,33/11 KV GAHININATH NAGAR,33/11 KV,Y,,N,16.58323,74.3353141,5,,,,4,3,1,1,/assets/ss.png
146,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144021,33/11KV GARGOTI SUBSTATION,33/11 KV,Y,,N,16.3161461,74.1455989,10,,,2,9,8,1,3,/assets/ss.png
147,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144094,33/11 KV TAMBALE SUBSTATION,33/11 KV,Y,,N,16.1655297,73.9986533,5,,,1,7,5,2,3,/assets/ss.png
148,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144082,33/11 KV DARWAD SUBSTATION,33/11 KV,Y,,N,16.3494894,74.1262561,10,,,2,7,6,1,3,/assets/ss.png
149,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144023,33/11 KV KADGAON SUBSTATION,33/11 KV,Y,,N,16.2207937,74.0697014,10,,,2,8,7,1,3,/assets/ss.png
150,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144132,33/11KV SHELOLI SUBSTATION,33/11 KV,Y,,N,16.2382433,74.1107383,5,,,1,4,3,1,0,/assets/ss.png
151,KOLHAPUR RURAL II DIV.,GARGOTI,7137,144022,33/11KV PIMPALGAON S/S,33/11 KV,Y,,N,16.2660557,74.2159426,10,,,2,7,7,0,3,/assets/ss.png
152,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,146004,110KV/33KV/11KV RHE,132/33 KV,N,Kolhapur,N,16.4046961,73.9602215,50,,,,6,1,4,0,/assets/ss.png
153,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144027,33/11 KV AAWALI,33/11 KV,Y,,N,16.4861167,74.0515821,8.15,0,,2,8,6,2,2,/assets/ss.png
154,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144024,33/11KV WALWA S/S,33/11 KV,Y,,N,16.4792636,74.162932,10,0,,2,6,5,1,1,/assets/ss.png
155,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144066,33/11 KV SOLANKUR S/S,33/11 KV,Y,,N,16.4168421,74.037162,5,0,,1,6,6,0,3,/assets/ss.png
156,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144026,33/11 KV TARALE SUB STSTION,33/11 KV,Y,,N,16.4430148,74.013181,5,0,,1,3,2,1,1,/assets/ss.png
157,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144028,33/11KV HASANE SUB-STATION,33/11 KV,Y,,N,16.352251,73.854926,3.15,0,,1,2,1,1,1,/assets/ss.png
158,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144091,33/11 KV RADHANAGARI,33/11 KV,Y,,N,16.4094005,74.0084766,5,0,,1,5,5,0,1,/assets/ss.png
159,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,144025,33/11 KV DHAMOD,33/11 KV,Y,,N,16.5261064,74.0215895,10,0,,2,6,5,1,2,/assets/ss.png
160,KOLHAPUR RURAL II DIV.,RADHANAGARI,7145,148019,220/110/33 KV BIDRI,220/110/33 KV,N,Kolhapur,N,16.427922,74.134395,50,,,,6,2,3,0,/assets/ss.png
161,KOLHAPUR RURAL II DIV.,MURGUD,7153,144018,33/11 KV KAPASHI,33/11 KV,Y,,N,16.3413096,74.2921183,15,,,2,10,9,1,2,/assets/ss.png
162,KOLHAPUR RURAL II DIV.,MURGUD,7153,144020,33/11 KV MUDHAL THITA,33/11 KV,Y,,N,16.407755,74.1419162,15,,,3,11,10,1,3,/assets/ss.png
163,KOLHAPUR RURAL II DIV.,MURGUD,7153,144019,33/11 KV SONAGE S/S,33/11 KV,Y,,N,16.429517,74.2711484,10,,,1,7,6,1,2,/assets/ss.png
164,KOLHAPUR RURAL II DIV.,MURGUD,7153,148020,220/33KV HAMIDWADA S.ST.,220/33 KV,N,Kolhapur,N,16.4260344,74.2835291,100,,,,8,4,3,0,/assets/ss.png
165,KOLHAPUR RURAL II DIV.,MURGUD,7153,144097,33/11KV KURANI,33/11 KV,Y,,N,16.4277438,74.1986706,10,,,2,7,6,1,2,/assets/ss.png
166,KOLHAPUR RURAL II DIV.,MURGUD,7153,144135,33/11 KV KHADAKEWADA,33/11 KV,Y,,N,16.4274747,74.3139064,5,0,,1,4,4,0,0,/assets/ss.png
167,KOLHAPUR RURAL II DIV.,MURGUD,7153,144145,33/11 KV CHIMGAON,33/11 KV,Y,,N,16.3730061,74.1982376,5,0,,,4,4,0,0,/assets/ss.png
168,KOLHAPUR RURAL I DIVISION,KODOLI,6157,144002,33/11 KV KODOLI,33/11 KV,Y,,N,16.8680046,74.1956077,15,0,,2,10,10,0,2,/assets/ss.png
169,KOLHAPUR RURAL I DIVISION,KODOLI,6157,144014,33/11 KV SATAVE,33/11 KV,Y,,N,16.8869346,74.1186472,5,0,,1,9,9,0,1,/assets/ss.png
170,KOLHAPUR RURAL I DIVISION,KADAMWADI,6173,144001,33/11KV SHIYE,33/11 KV,Y,,N,16.7621234,74.2632636,45,0,,2,6,6,0,2,/assets/ss.png
171,KOLHAPUR RURAL I DIVISION,KADAMWADI,6173,144003,33/11 KV KERLE,33/11 KV,Y,,N,16.7681238,74.1668446,25,0,,4,12,12,0,2,/assets/ss.png
172,KOLHAPUR RURAL I DIVISION,PARITE,6165,144009,33/11 KV KANCHANWADI,33/11 kV,Y,,N,16.58771,74.071324,15,,,2,9,8,1,1,/assets/ss.png
173,KOLHAPUR RURAL I DIVISION,PARITE,6165,146011,110/11 KV KOTHALI,132/33 KV,N,Kolhapur,N,16.5788003,74.133235,75,,,2,14,10,3,0,/assets/ss.png
174,KOLHAPUR RURAL I DIVISION,PARITE,6165,144010,33/11 KV WADAKSHIVALE,33/11 KV,Y,,N,16.5470883,74.178135,20,,,2,12,11,1,1,/assets/ss.png
175,KOLHAPUR RURAL I DIVISION,PARITE,6165,146013,110/33 KV PUIKHADI,132/33 KV,N,Kolhapur,N,16.6593946,74.1980675,100,,,,12,4,7,0,/assets/ss.png
176,KOLHAPUR RURAL I DIVISION,PARITE,6165,144078,33/11 KV RASHIWADE,33/11 KV,Y,,N,16.54937,74.107548,10,,,2,9,6,3,1,/assets/ss.png
177,KOLHAPUR RURAL I DIVISION,KALE,6149,144007,33/11 KV PADAL,33/11 kV,Y,,N,16.7353452,74.1167673,10,,,2,7,6,1,2,/assets/ss.png
178,KOLHAPUR RURAL I DIVISION,KALE,6149,144115,33/11KV VETAVADE S/STN,33/11 kV,Y,,N,16.6503321,74.0200349,10,,,1,3,3,0,1,/assets/ss.png
179,KOLHAPUR RURAL I DIVISION,KALE,6149,146007,110/33/11 KV KALE S/STN,33/11 KV,N,Kolhapur,N,16.7105416,74.0412752,60,,,1,18,11,6,0,/assets/ss.png
180,KOLHAPUR RURAL I DIVISION,KALE,6149,144008,33/11KV S//S BAJAR BHOGOAN,33/11 KV,Y,,N,16.7557462,73.9900912,10,,,2,7,6,1,1,/assets/ss.png
181,KOLHAPUR RURAL I DIVISION,KALE,6149,144122,33/11 KV  PAT PANHALA,33/11 KV,Y,,N,16.7490489,73.9607217,5,,,1,4,3,1,1,/assets/ss.png
182,KOLHAPUR RURAL I DIVISION,PHULEWADI,6181,144031,33/11 KV BALINGA S/STN,33/11 KV,Y,,N,16.6917211,74.1690191,20,,,4,11,11,0,3,/assets/ss.png
183,KOLHAPUR RURAL I DIVISION,PHULEWADI,6181,144005,33/11 KV KOGE,33/11 KV,Y,,N,16.6599238,74.1440563,15,,,3,8,8,0,1,/assets/ss.png
184,KOLHAPUR RURAL I DIVISION,PHULEWADI,6181,144110,33/11KV BOLOLI S.ST,33/11 KV,Y,,N,16.643153,74.055213,5,,,1,4,4,0,1,/assets/ss.png
185,KOLHAPUR RURAL I DIVISION,PHULEWADI,6181,144136,33/11 KV BHAMATE SUB STATION,33/11 KV,Y,,N,16.7101261,74.0863981,5,0,,1,4,4,0,0,/assets/ss.png
186,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,144077,33/11 KV MANJARE,33/11 KV,Y,,N,16.83201,73.821353,5,,,1,5,4,1,2,/assets/ss.png
187,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,144012,33 /11 KV SARUD,33/11 KV,Y,,N,16.9149745,74.0400241,15,,,3,10,9,1,1,/assets/ss.png
188,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,144109,33/11 KV THAWADE,33/11 KV,Y,,N,17.0431569,73.9418251,5,,,1,4,3,1,1,/assets/ss.png
189,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,144088,33/11 KV WARUL,33/11 KV,Y,,N,16.9572527,73.8708375,5,,,1,6,5,1,1,/assets/ss.png
190,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,147018,132/33KV BAMBAWADE,132/33 KV,N,Kolhapur,N,16.8850246,74.0261804,50,,,2,9,2,6,0,/assets/ss.png
191,KOLHAPUR RURAL I DIVISION,MALKAPUR,6190,144011,33/11 KV SHAHUWADI,33/11 KV,Y,,N,16.9048649,73.9450775,10,,,2,13,10,3,2,/assets/ss.png
192,KOLHAPUR RURAL I DIVISION,GAGANBAWADA S/DN.,4807,144006,33/11 KV GAGANBAWDA S/STN,33/11 kV,Y,,N,16.5482741,73.8301425,5,,,1,7,6,1,1,/assets/ss.png
193,KOLHAPUR RURAL I DIVISION,GAGANBAWADA S/DN.,4807,144070,33/11 KV MARGEWADI (NIVADE),33/11 kV,Y,,N,16.6742091,73.9644028,10,,,2,9,8,1,1,/assets/ss.png
194,KOLHAPUR RURAL I DIVISION,GAGANBAWADA S/DN.,4807,144139,"33/11KV 1X5MVA, JARGI SUBSTATI",33/11 KV,Y,,N,16.5561538,73.9300473,5,0,,,4,3,1,0,/assets/ss.png
195,KOLHAPUR RURAL I DIVISION,PANHALA,6131,144004,PANHALA SUB-STATION,33/11 KV,Y,,N,16.8024534,74.1155392,10,0,,2,10,9,1,2,/assets/ss.png
196,KOLHAPUR RURAL I DIVISION,PANHALA,6131,144013,33/11 KV DIGAWADE,33/11 KV,Y,,N,16.7590577,74.0646691,10,,,2,7,6,1,2,/assets/ss.png
197,KOLHAPUR RURAL I DIVISION,PANHALA,6131,144146,33/11 KV NIWADE,33/11 KV,Y,,N,16.7896914,73.9825174,5,0,,,4,3,1,0,/assets/ss.png
198,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,144049,33/11 KV B S/S,33/11 kV,Y,,N,16.696391,74.458817,70,,,3,11,9,2,1,/assets/ss.png
199,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,144050,33/11 KV SHAHPUR S/S,33/11 kV,Y,,N,16.7132977,74.4596714,80,,,4,16,13,3,3,/assets/ss.png
200,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,144051,33/11 KV KABNOOR,33/11 kV,Y,,N,16.6969665,74.445529,60,,,3,10,9,1,3,/assets/ss.png
201,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,144111,33/11 KV HANUMANNAGAR,33/11 kV,Y,,N,16.6966086,74.445338,10,,,2,5,4,1,2,/assets/ss.png
202,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,144118,33/11 KV KOROCHI SUB STATION,33/11 kV,Y,,N,16.718755,74.437685,80,,,3,10,8,2,1,/assets/ss.png
203,ICHALKARANJI DIVISION,ICHALKARNJI B S/DN.,4711,146003,110KV ICHALKARANJI,132/11 KV,N,Kolhapur,N,16.7045459,74.4579411,175,0,,,23,13,9,2,/assets/ss.png
204,ICHALKARANJI DIVISION,ICHALKARNJI A S/DN.,4710,144048,33/11 KV AWADE MALA S/S,33/11 KV,Y,,N,16.6738996,74.4664744,30,0,,3,15,13,2,2,/assets/ss.png
205,ICHALKARANJI DIVISION,ICHALKARNJI A S/DN.,4710,144047,33/11 KV AMRAI,33/11 KV,Y,,N,16.698641,74.4826017,15,0,,2,8,6,2,2,/assets/ss.png
206,ICHALKARANJI DIVISION,ICHALKARNJI A S/DN.,4710,144126,33/11KV GIS ICHALKARANJI,33/11 KV,Y,,N,16.695973,74.458877,20,0,,2,10,8,2,1,/assets/ss.png
207,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144054,33/11KV MANGAON,33/11 KV,Y,,N,16.7101655,74.3737018,20,0,,2,10,9,1,1,/assets/ss.png
208,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144052,33/11 KV YADRAV,33/11 KV,Y,,N,16.7267276,74.4882565,20,0,,2,13,10,3,2,/assets/ss.png
209,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,148015,220 KV TILAWANI,220/110/33 KV,N,Kolhapur,N,16.7376733,74.4058403,200,0,,,13,4,8,0,/assets/ss.png
210,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144053,33/11 KV TILAWANI,33/11 KV,Y,,N,16.7366482,74.4069325,25,0,,3,10,9,1,1,/assets/ss.png
211,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144072,33/11 KV CHANDUR,33/11 KV,Y,,N,16.6839061,74.4289886,25,0,,3,10,9,1,1,/assets/ss.png
212,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144055,33/11 KV SHIRADWAD,33/11 KV,Y,,N,16.6502149,74.4894469,15,0,,,8,8,0,1,/assets/ss.png
213,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144108,33/11 KV PARVATI INDUSTRIAL ES,33/11 KV,Y,,N,16.7271485,74.4884667,35,0,,4,13,7,6,3,/assets/ss.png
214,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144116,33/11 KV ABDUL LAT,33/11 KV,Y,,N,16.6516587,74.513134,10,0,,2,6,5,1,1,/assets/ss.png
215,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144114,33/33 KV LAXMI SWITCHING STATI,33/33 KV,Y,,Y,16.7365606,74.4070442,,0,,,7,1,6,2,/assets/ss.png
216,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144144,MAHALAXMI,33/11 KV,Y,,N,16.7250791,74.4893789,20,0,1/24/2025,2,8,6,2,0,/assets/ss.png
217,ICHALKARANJI DIVISION,ICHALKARANJI(RURAL),9121,144148,33/11 KV SATYARAJ TEXTILE PARK,33/11 KV,Y,,N,16.6462138,74.5000283,20,0,4/22/2025,,6,6,0,0,/assets/ss.png
